楼盘名称,地址,单价,面积,数据来源
津城壹号,长丰路人民广场,6700.0,,贝壳
桥达巴南茂宸广场,龙洲湾（汉海海洋公园旁）,20000.0,,贝壳
五洲城,星光大道222号,16000.0,,贝壳
奥园翡翠天辰,中山西路22号,8500.0,,贝壳
涪陵金科大都会,太白大道8号,5600.0,,贝壳
朗诗未来时光,绿岛新区黛山大道与铁山路交汇处,7200.0,,贝壳
雅居乐九里原香,两江新区·水土北·云汉大道中段,9000.0,,贝壳
凯辰玥明台,绿岛新区•云巴秀湖公园站（建设中）旁,10000.0,,贝壳
万科四季都会,重庆市两江新区云汉大道与万福路交叉处（6号线红岩坪站旁）,14000.0,,贝壳
天誉智慧城,朝天门大桥南桥头,17500.0,,贝壳
龙湖天际,渝北区两江国际商务中心,16000.0,,贝壳
万科金域学府,二塘路59号,8200.0,,贝壳
中粮重庆大悦城铂悦,中央公园·两江国际商务中心,14000.0,,贝壳
金融街融府,沙滨路金融街融府销售中心,22000.0,,贝壳
桥达巴南茂宸广场,龙泽路重庆汉海鲸豚湾水世界对面,9000.0,,贝壳
保利和光尘樾,悦清大道保利和光尘樾,17000.0,,贝壳
恒大金碧天下,恒大大道1号,9500.0,,贝壳
东原嘉阅湾,长平路889号,10000.0,,贝壳
璧山金茂悦,重庆市璧山区璧泉街道铁山路45号,8200.0,,贝壳
领琇长江,钢花路,15000.0,,贝壳
融信海月渝州,轨道环线奥体中心站旁,24500.0,,贝壳
西辰艺境,重庆西永赖家桥轻轨站旁,17000.0,,贝壳
佳兆业滨江四季,重庆市大渡口区大渡口钢花路247号,18000.0,,贝壳
金辉融恒江山云著,重庆市江北区盘溪南公交车站旁,23000.0,,贝壳
金融街嘉粼融府,渝北区金海大道,23000.0,,贝壳
沙磁1938,磁器口轻轨站50米处,22000.0,,贝壳
绿城春溪雲庐,腾芳大道777号,25000.0,,贝壳
建工半山郡,建工半山郡销售中心（轻轨5号线华成路站1A出口）,15500.0,,贝壳
中国铁建西派宸樾,重庆市大渡口区钢花路1537号,19000.0,,贝壳
玖著天宸,北碚区蔡家轨道曹家湾站旁（按照《重庆两江新区蔡家组团规划组团规划与自然环境保护》的相关内容，蔡家组团公园绿地由57个不同类型、不同级别、不同规模的公园构成。包括4个综合公园、6个专类公园、12个社区公园、9个带状公园、26个街旁绿地。新设立的社区，平均1个,15500.0,,贝壳
蓝光公园悦湖,恋湖公园旁,15900.0,,贝壳
城市之门,江北千厮门大桥北桥头,30000.0,,贝壳
金科集美城,德园路金科集美城,5200.0,,贝壳
重庆恒大健康城,津马大道重庆恒大健康城,8500.0,,贝壳
天地源水墨江山,碚青路天地源水墨江山,11500.0,,贝壳
财信龙水湖健康生态城,玉花路财信龙水湖文旅城,7500.0,,贝壳
中粮天悦壹号,北滨路 中粮天悦壹号流水美术馆,25000.0,,贝壳
浩创半山溪谷,龙洲湾云滨路999号,12000.0,,贝壳
融创壹号院,金开大道西段玉竹路,31000.0,,贝壳
通和睿庭,和平路162号（中华路小学旁）,28000.0,,贝壳
重庆融创城,一期青杠街道众泰路88号，二期大兴镇黛山大道973号,8500.0,,贝壳
金融街九龙金悦府,岩新城华福大道公交1站旁,16000.0,,贝壳
仁安南山院子,福寿路2号（向黄隧道路口右转200米）,15800.0,,贝壳
恒大时代新城,高新区铜陶路铜罐驿古镇旁,8800.0,,贝壳
北新御龙湾,嘉和大道555号,7000.0,,贝壳
正荣朗基悦江湾,思源路天安云谷总部基地8号楼,15000.0,,贝壳
恒大锦城,重庆市巴南区界西路南溪绿郡旁,9800.0,,贝壳
香港置地嘉景湾,两江新区金海大道滨江路,20000.0,,贝壳
保亿御江临风,重庆市南岸区大沙溪（原洋人街旁）,28000.0,,贝壳
北辰香麓,重庆市渝北区秋成大道与悦港大道交叉路口往南约150米,22000.0,,贝壳
华发四季半岛,南岸区寸滩长江大桥,19000.0,,贝壳
友锦锦绣新城,重庆市璧山区璧渝路339号附9号,8000.0,,贝壳
中凯华府,璧山御湖一支路8号（御湖小学旁）,10400.0,,贝壳
中交西园雅集,重庆市九龙坡区华岩新城民胜路39号,18000.0,,贝壳
联发玺悦,龙洲湾龙泽路,11800.0,,贝壳
东原江山印月,江北两江新区·复盛福生大道东原江山印月,13000.0,,贝壳
香港置地衿湖翠林,重庆两江新区中央公园西路镜湖旁,23000.0,,贝壳
江北嘴公园里,江北溉澜溪体育公园旁,23000.0,,贝壳
合能渝玥府,龙溪街道金龙路183号,26000.0,,贝壳
麓悦江城,仙桃街道数据谷东路19号,30000.0,,贝壳
凤鸣水岸,井口街道半边街,15000.0,,贝壳
中建清能悦和城,龙洲湾街道龙兰路中建清能悦和城,13000.0,,贝壳
龙湖颐天展图森镜,龙汇路鱼洞二小昕辉校区旁,20000.0,,贝壳
喜福里,轨道3号线观月路站4号出口,13500.0,,贝壳
万科锦绣滨江,渝中区华盛路化龙桥一盏时光北,28000.0,,贝壳
康田漫城,景阳路20号,7300.0,,贝壳
一曲晴江,一曲晴江,17000.0,,贝壳
融创欧麓花园城长乐雅颂,石泉与怡林路交叉口东南,15000.0,,贝壳
恒大云邸,新华路与正阳街交叉口东南50米,30000.0,,贝壳
新城悦隽风华,大学城南一路,16000.0,,贝壳
佳兆业樾伴山,璧泉街道铁山路24号,9000.0,,贝壳
荣盛鹿山府,渝北桂馥大道鹿山轻轨站旁,21000.0,,贝壳
中航昕晖璟辰,华岩商圈福隆路,13500.0,,贝壳
财信九悦府,高新区·陶家天盐路1号,8000.0,,贝壳
协信星澜汇,巴南龙州大道起点（渝南大道与箭河路交界处）,9800.0,,贝壳
枫香桂园,璧山绿岛新区,11000.0,,贝壳
美的万麓府,璧山区铁山路与璧青路交界处,9000.0,,贝壳
海伦堡玖悦府,渝北区观湖路98号,14000.0,,贝壳
中南上悦城,金桥路刘家坝公交站旁（车家坪小学旁）,15500.0,,贝壳
重庆one行政公寓,青年路77号,28000.0,,贝壳
中海天钻,五红路10号,16000.0,,贝壳
曲江新鸥鹏凤凰城,重庆市璧山区璧泉街道银山路1号,7000.0,,贝壳
金科博翠未来,重庆市北碚区两江新区新慧路,19000.0,,贝壳
合能枫丹宸悦,重庆市北碚区两江新区同泰路,14000.0,,贝壳
中粮祥云赋,两江新区西大附中水土校区旁,14000.0,,贝壳
春和锦明,两江新区中央公园北云汉大道高端住区,15000.0,,贝壳
融创九宸府,两江新区两江大道旁,20000.0,,贝壳
金辉玖珑云璟,重庆市九龙坡区龙腾大道119号金辉玖珑云璟,26000.0,,贝壳
旭辉上城,龙洲湾南云篆山麓云锦四路与云锦大道交叉口20米,9600.0,,贝壳
龙湖北滨910,观音桥鼎升国际旁,26500.0,,贝壳
海成云境,[渝北 - 中央公园] 睦邻路10号,17800.0,,贝壳
融创隐溪晓院,港悦大道999号,22000.0,,贝壳
光明拾光里MOMΛ,渝北区民意路36号附1号,14000.0,,贝壳
中梁海成南山云璟,南岸区广黔路加气站东南50 米,17000.0,,贝壳
北城空港天地,双凤桥街道空港大道777号,9600.0,,贝壳
华润置地润西山,西永西城大道,16500.0,,贝壳
贵博金海湾,涪陵区迎宾大道36号,7500.0,,贝壳
